x1,y1,x2,y2,page_number,field_name,index,field_type
735,747,773,808,1,Birth_Certificate,7,OCR_CHAR
773,747,811,808,1,Birth_Certificate,8,OCR_CHAR
811,747,849,808,1,Birth_Certificate,9,OCR_CHAR
849,747,887,808,1,Birth_Certificate,10,OCR_CHAR
887,747,925,808,1,Birth_Certificate,11,OCR_CHAR
925,747,963,808,1,Birth_Certificate,12,OCR_CHAR
963,747,1001,808,1,Birth_Certificate,13,OCR_CHAR
1001,747,1039,808,1,Birth_Certificate,14,OCR_CHAR
1039,747,1077,808,1,Birth_Certificate,15,OCR_CHAR
1077,747,1115,808,1,Birth_Certificate,16,OCR_CHAR
1115,747,1153,808,1,Birth_Certificate,17,OCR_CHAR
505,835,548,872,1,DOB_D,1,OCR_CHAR
548,835,591,872,1,DOB_D,2,OCR_CHAR
591,835,633,872,1,DOB_M,1,OCR_CHAR
632,835,675,872,1,DOB_M,2,OCR_CHAR
675,835,717,872,1,DOB_Y,1,OCR_CHAR
717,835,759,872,1,DOB_Y,2,OCR_CHAR
759,835,801,872,1,DOB_Y,3,OCR_CHAR
801,835,844,872,1,DOB_Y,4,OCR_CHAR
500,875,1165,932,1,Birth_Place,,OCR_WORD
500,935,612,992,1,Gender,1,CHECKBOX
600,935,715,992,1,Gender,2,CHECKBOX
705,935,818,992,1,Gender,3,CHECKBOX
500,992,645,1052,1,Nationality,1,HYBRID
637,992,1165,1052,1,Nationality,2,HYBRID
500,1050,618,1112,1,Religion,1,CHECKBOX
605,1050,728,1112,1,Religion,2,CHECKBOX
717,1050,840,1112,1,Religion,3,CHECKBOX
827,1050,965,1112,1,Religion,4,CHECKBOX
955,1050,1133,1112,1,Religion,5,CHECKBOX
1120,1050,1345,1112,1,Religion,6,CHECKBOX
1332,1050,1470,1112,1,Religion,7,CHECKBOX
500,1105,598,1165,1,Class,1,CHECKBOX
588,1105,686,1165,1,Class,2,CHECKBOX
674,1105,774,1165,1,Class,3,CHECKBOX
762,1105,860,1165,1,Class,4,CHECKBOX
848,1105,949,1165,1,Class,5,CHECKBOX
935,1105,1037,1165,1,Class,6,CHECKBOX
1023,1105,1127,1165,1,Class,7,CHECKBOX
500,1165,560,1219,1,Roll,1,OCR_CHAR
550,1165,613,1219,1,Roll,2,OCR_CHAR
600,1165,665,1219,1,Roll,3,OCR_CHAR
500,1219,639,1280,1,Marital_Status,1,CHECKBOX
625,1219,755,1280,1,Marital_Status,2,CHECKBOX
740,1219,858,1280,1,Marital_Status,3,CHECKBOX
843,1219,964,1280,1,Marital_Status,4,CHECKBOX
948,1219,1178,1280,1,Marital_Status,5,CHECKBOX
1163,1219,1310,1280,1,Marital_Status,6,CHECKBOX
1295,1219,1470,1280,1,Marital_Status,7,CHECKBOX
500,1280,673,1339,1,Disability,1,CHECKBOX
657,1280,832,1339,1,Disability,2,CHECKBOX
815,1280,990,1339,1,Disability,3,CHECKBOX
975,1280,1150,1339,1,Disability,4,CHECKBOX
1135,1280,1310,1339,1,Disability,5,CHECKBOX
1292,1280,1470,1339,1,Disability,6,CHECKBOX
500,1338,630,1393,1,BG,1,CHECKBOX
615,1338,750,1393,1,BG,2,CHECKBOX
735,1338,870,1393,1,BG,3,CHECKBOX
855,1338,990,1393,1,BG,4,CHECKBOX
975,1338,1110,1393,1,BG,5,CHECKBOX
1095,1338,1230,1393,1,BG,6,CHECKBOX
1215,1338,1350,1395,1,BG,7,CHECKBOX
1335,1338,1470,1395,1,BG,8,CHECKBOX
500,1395,620,1450,1,Tribal_check,1,CHECKBOX
605,1395,730,1450,1,Tribal_check,2,CHECKBOX
500,1510,612,1560,1,Tribe,1,CHECKBOX
600,1510,697,1560,1,Tribe,2,CHECKBOX
682,1510,772,1560,1,Tribe,3,CHECKBOX
760,1510,845,1560,1,Tribe,4,CHECKBOX
832,1510,910,1560,1,Tribe,5,CHECKBOX
895,1510,978,1563,1,Tribe,6,CHECKBOX
963,1510,1047,1563,1,Tribe,7,CHECKBOX
1032,1510,1115,1563,1,Tribe,8,CHECKBOX
1103,1510,1197,1563,1,Tribe,9,CHECKBOX
1185,1510,1280,1563,1,Tribe,10,CHECKBOX
1265,1510,1370,1563,1,Tribe,11,CHECKBOX
1355,1510,1467,1565,1,Tribe,12,CHECKBOX
1455,1510,1560,1565,1,Tribe,13,CHECKBOX
500,1600,1560,1665,1,Mother_Name,,OCR_WORD
500,1655,534,1720,1,Mother_Name_English,1,OCR_CHAR
530,1655,564,1720,1,Mother_Name_English,2,OCR_CHAR
560,1655,594,1720,1,Mother_Name_English,3,OCR_CHAR
590,1655,624,1720,1,Mother_Name_English,4,OCR_CHAR
620,1655,654,1720,1,Mother_Name_English,5,OCR_CHAR
650,1655,684,1720,1,Mother_Name_English,6,OCR_CHAR
680,1655,714,1720,1,Mother_Name_English,7,OCR_CHAR
710,1655,744,1720,1,Mother_Name_English,8,OCR_CHAR
740,1655,774,1720,1,Mother_Name_English,9,OCR_CHAR
770,1655,804,1720,1,Mother_Name_English,10,OCR_CHAR
800,1655,834,1720,1,Mother_Name_English,11,OCR_CHAR
830,1655,864,1720,1,Mother_Name_English,12,OCR_CHAR
860,1655,894,1720,1,Mother_Name_English,13,OCR_CHAR
890,1655,924,1720,1,Mother_Name_English,14,OCR_CHAR
920,1655,954,1720,1,Mother_Name_English,15,OCR_CHAR
950,1658,984,1720,1,Mother_Name_English,16,OCR_CHAR
980,1658,1014,1720,1,Mother_Name_English,17,OCR_CHAR
1010,1658,1044,1720,1,Mother_Name_English,18,OCR_CHAR
1040,1658,1074,1720,1,Mother_Name_English,19,OCR_CHAR
1070,1658,1104,1720,1,Mother_Name_English,20,OCR_CHAR
1100,1658,1134,1720,1,Mother_Name_English,21,OCR_CHAR
1130,1658,1164,1720,1,Mother_Name_English,22,OCR_CHAR
1160,1658,1194,1720,1,Mother_Name_English,23,OCR_CHAR
1190,1658,1224,1720,1,Mother_Name_English,24,OCR_CHAR
1220,1658,1254,1720,1,Mother_Name_English,25,OCR_CHAR
1250,1658,1284,1720,1,Mother_Name_English,26,OCR_CHAR
1280,1658,1314,1720,1,Mother_Name_English,27,OCR_CHAR
1310,1658,1344,1720,1,Mother_Name_English,28,OCR_CHAR
1340,1658,1374,1720,1,Mother_Name_English,29,OCR_CHAR
1370,1658,1404,1720,1,Mother_Name_English,30,OCR_CHAR
1400,1658,1434,1720,1,Mother_Name_English,31,OCR_CHAR
1430,1658,1464,1720,1,Mother_Name_English,32,OCR_CHAR
1460,1658,1494,1720,1,Mother_Name_English,33,OCR_CHAR
1490,1658,1524,1720,1,Mother_Name_English,34,OCR_CHAR
1520,1658,1554,1720,1,Mother_Name_English,35,OCR_CHAR
500,1710,550,1775,1,Mother_NID,1,OCR_CHAR
545,1710,595,1775,1,Mother_NID,2,OCR_CHAR
590,1710,640,1775,1,Mother_NID,3,OCR_CHAR
635,1715,685,1775,1,Mother_NID,4,OCR_CHAR
680,1715,730,1775,1,Mother_NID,5,OCR_CHAR
725,1715,775,1775,1,Mother_NID,6,OCR_CHAR
770,1715,820,1775,1,Mother_NID,7,OCR_CHAR
815,1715,865,1775,1,Mother_NID,8,OCR_CHAR
860,1715,910,1775,1,Mother_NID,9,OCR_CHAR
905,1715,955,1775,1,Mother_NID,10,OCR_CHAR
950,1715,1000,1775,1,Mother_NID,11,OCR_CHAR
995,1715,1045,1775,1,Mother_NID,12,OCR_CHAR
1040,1715,1090,1775,1,Mother_NID,13,OCR_CHAR
1085,1715,1135,1775,1,Mother_NID,14,OCR_CHAR
1130,1715,1180,1775,1,Mother_NID,15,OCR_CHAR
1175,1715,1225,1775,1,Mother_NID,16,OCR_CHAR
1220,1715,1270,1775,1,Mother_NID,17,OCR_CHAR
500,1800,547,1845,1,Mother_DOB_D,1,OCR_CHAR
542,1800,590,1845,1,Mother_DOB_D,2,OCR_CHAR
583,1800,633,1845,1,Mother_DOB_M,1,OCR_CHAR
625,1800,675,1845,1,Mother_DOB_M,2,OCR_CHAR
667,1800,718,1845,1,Mother_DOB_Y,1,OCR_CHAR
709,1800,760,1845,1,Mother_DOB_Y,2,OCR_CHAR
752,1800,802,1845,1,Mother_DOB_Y,3,OCR_CHAR
794,1802,845,1845,1,Mother_DOB_Y,4,OCR_CHAR
500,1840,550,1905,1,Mother_Birth_Certificate,1,OCR_CHAR
545,1840,595,1905,1,Mother_Birth_Certificate,2,OCR_CHAR
590,1840,640,1905,1,Mother_Birth_Certificate,3,OCR_CHAR
635,1840,685,1905,1,Mother_Birth_Certificate,4,OCR_CHAR
680,1840,730,1905,1,Mother_Birth_Certificate,5,OCR_CHAR
725,1840,775,1905,1,Mother_Birth_Certificate,6,OCR_CHAR
770,1840,820,1905,1,Mother_Birth_Certificate,7,OCR_CHAR
815,1840,865,1905,1,Mother_Birth_Certificate,8,OCR_CHAR
860,1840,910,1905,1,Mother_Birth_Certificate,9,OCR_CHAR
905,1840,955,1905,1,Mother_Birth_Certificate,10,OCR_CHAR
950,1840,1000,1905,1,Mother_Birth_Certificate,11,OCR_CHAR
995,1840,1045,1905,1,Mother_Birth_Certificate,12,OCR_CHAR
1040,1840,1090,1905,1,Mother_Birth_Certificate,13,OCR_CHAR
1085,1840,1135,1905,1,Mother_Birth_Certificate,14,OCR_CHAR
1130,1840,1180,1905,1,Mother_Birth_Certificate,15,OCR_CHAR
1175,1840,1225,1905,1,Mother_Birth_Certificate,16,OCR_CHAR
1220,1840,1270,1905,1,Mother_Birth_Certificate,17,OCR_CHAR
495,1900,545,1963,1,Mother_Mobile,1,OCR_CHAR
537,1900,585,1963,1,Mother_Mobile,2,OCR_CHAR
577,1900,625,1963,1,Mother_Mobile,3,OCR_CHAR
617,1900,665,1963,1,Mother_Mobile,4,OCR_CHAR
657,1900,705,1963,1,Mother_Mobile,5,OCR_CHAR
697,1900,745,1963,1,Mother_Mobile,6,OCR_CHAR
735,1900,785,1963,1,Mother_Mobile,7,OCR_CHAR
775,1900,825,1963,1,Mother_Mobile,8,OCR_CHAR
815,1900,865,1963,1,Mother_Mobile,9,OCR_CHAR
855,1900,905,1963,1,Mother_Mobile,10,OCR_CHAR
895,1900,945,1963,1,Mother_Mobile,11,OCR_CHAR
495,1960,1270,2023,1,Mother_Occupation,,OCR_WORD
495,2020,555,2078,1,Mother_Death_Year,1,OCR_CHAR
545,2020,605,2078,1,Mother_Death_Year,2,OCR_CHAR
595,2020,658,2078,1,Mother_Death_Year,3,OCR_CHAR
645,2020,708,2078,1,Mother_Death_Year,4,OCR_CHAR
480,120,1550,185,2,Father_Name,,OCR_WORD
480,180,525,240,2,Father_Name_English,1,OCR_CHAR
517,180,555,240,2,Father_Name_English,2,OCR_CHAR
545,180,585,240,2,Father_Name_English,3,OCR_CHAR
575,180,615,240,2,Father_Name_English,4,OCR_CHAR
605,180,645,240,2,Father_Name_English,5,OCR_CHAR
635,180,675,240,2,Father_Name_English,6,OCR_CHAR
665,180,705,240,2,Father_Name_English,7,OCR_CHAR
695,180,735,240,2,Father_Name_English,8,OCR_CHAR
725,180,765,240,2,Father_Name_English,9,OCR_CHAR
755,180,795,240,2,Father_Name_English,10,OCR_CHAR
785,180,825,240,2,Father_Name_English,11,OCR_CHAR
815,180,855,240,2,Father_Name_English,12,OCR_CHAR
845,180,885,240,2,Father_Name_English,13,OCR_CHAR
875,180,915,240,2,Father_Name_English,14,OCR_CHAR
905,180,945,240,2,Father_Name_English,15,OCR_CHAR
935,180,975,240,2,Father_Name_English,16,OCR_CHAR
965,180,1005,240,2,Father_Name_English,17,OCR_CHAR
995,180,1035,240,2,Father_Name_English,18,OCR_CHAR
1025,180,1065,240,2,Father_Name_English,19,OCR_CHAR
1055,180,1095,240,2,Father_Name_English,20,OCR_CHAR
1085,180,1125,240,2,Father_Name_English,21,OCR_CHAR
1115,180,1155,240,2,Father_Name_English,22,OCR_CHAR
1145,180,1185,240,2,Father_Name_English,23,OCR_CHAR
1175,180,1215,240,2,Father_Name_English,24,OCR_CHAR
1205,180,1245,240,2,Father_Name_English,25,OCR_CHAR
1235,180,1275,240,2,Father_Name_English,26,OCR_CHAR
1265,180,1305,240,2,Father_Name_English,27,OCR_CHAR
1295,180,1335,240,2,Father_Name_English,28,OCR_CHAR
1325,180,1365,240,2,Father_Name_English,29,OCR_CHAR
1355,180,1395,240,2,Father_Name_English,30,OCR_CHAR
1385,180,1425,240,2,Father_Name_English,31,OCR_CHAR
1415,180,1455,240,2,Father_Name_English,32,OCR_CHAR
1445,180,1485,240,2,Father_Name_English,33,OCR_CHAR
1475,180,1515,240,2,Father_Name_English,34,OCR_CHAR
1505,180,1545,240,2,Father_Name_English,35,OCR_CHAR
480,240,540,300,2,Father_NID,1,OCR_CHAR
530,240,585,300,2,Father_NID,2,OCR_CHAR
575,240,632,300,2,Father_NID,3,OCR_CHAR
620,240,675,300,2,Father_NID,4,OCR_CHAR
665,240,720,300,2,Father_NID,5,OCR_CHAR
710,240,765,300,2,Father_NID,6,OCR_CHAR
755,240,810,300,2,Father_NID,7,OCR_CHAR
800,240,855,300,2,Father_NID,8,OCR_CHAR
845,240,900,300,2,Father_NID,9,OCR_CHAR
890,240,945,300,2,Father_NID,10,OCR_CHAR
935,240,990,300,2,Father_NID,11,OCR_CHAR
980,240,1035,300,2,Father_NID,12,OCR_CHAR
1025,240,1080,300,2,Father_NID,13,OCR_CHAR
1070,240,1125,300,2,Father_NID,14,OCR_CHAR
1115,240,1170,300,2,Father_NID,15,OCR_CHAR
1160,240,1215,300,2,Father_NID,16,OCR_CHAR
1205,240,1260,300,2,Father_NID,17,OCR_CHAR
480,325,535,370,2,Father_DOB_D,1,OCR_CHAR
525,325,580,370,2,Father_DOB_D,2,OCR_CHAR
570,325,622,370,2,Father_DOB_M,1,OCR_CHAR
613,325,665,370,2,Father_DOB_M,2,OCR_CHAR
655,325,707,370,2,Father_DOB_Y,1,OCR_CHAR
698,325,750,370,2,Father_DOB_Y,2,OCR_CHAR
740,325,790,370,2,Father_DOB_Y,3,OCR_CHAR
782,325,834,370,2,Father_DOB_Y,4,OCR_CHAR
480,370,540,430,2,Father_Birth_Certificate,1,OCR_CHAR
528,370,588,430,2,Father_Birth_Certificate,2,OCR_CHAR
573,370,633,430,2,Father_Birth_Certificate,3,OCR_CHAR
618,370,678,430,2,Father_Birth_Certificate,4,OCR_CHAR
663,370,723,430,2,Father_Birth_Certificate,5,OCR_CHAR
708,370,768,430,2,Father_Birth_Certificate,6,OCR_CHAR
753,370,813,430,2,Father_Birth_Certificate,7,OCR_CHAR
798,370,858,430,2,Father_Birth_Certificate,8,OCR_CHAR
843,370,903,430,2,Father_Birth_Certificate,9,OCR_CHAR
888,370,948,430,2,Father_Birth_Certificate,10,OCR_CHAR
933,370,993,430,2,Father_Birth_Certificate,11,OCR_CHAR
978,370,1038,430,2,Father_Birth_Certificate,12,OCR_CHAR
1023,370,1083,430,2,Father_Birth_Certificate,13,OCR_CHAR
1068,370,1128,430,2,Father_Birth_Certificate,14,OCR_CHAR
1113,370,1173,430,2,Father_Birth_Certificate,15,OCR_CHAR
1158,370,1218,430,2,Father_Birth_Certificate,16,OCR_CHAR
1203,370,1263,430,2,Father_Birth_Certificate,17,OCR_CHAR
480,428,537,485,2,Father_Mobile,1,OCR_CHAR
523,428,578,485,2,Father_Mobile,2,OCR_CHAR
563,428,618,485,2,Father_Mobile,3,OCR_CHAR
603,428,658,485,2,Father_Mobile,4,OCR_CHAR
643,428,698,485,2,Father_Mobile,5,OCR_CHAR
683,428,738,485,2,Father_Mobile,6,OCR_CHAR
723,428,778,485,2,Father_Mobile,7,OCR_CHAR
763,428,816,485,2,Father_Mobile,8,OCR_CHAR
800,428,856,485,2,Father_Mobile,9,OCR_CHAR
840,428,895,485,2,Father_Mobile,10,OCR_CHAR
880,428,935,485,2,Father_Mobile,11,OCR_CHAR
480,485,1265,545,2,Father_Occupation,,OCR_WORD
480,540,547,605,2,Father_Death_Year,1,OCR_CHAR
533,540,600,605,2,Father_Death_Year,2,OCR_CHAR
585,540,647,605,2,Father_Death_Year,3,OCR_CHAR
632,540,700,605,2,Father_Death_Year,4,OCR_CHAR
425,600,715,660,2,DIVISION_CUR,,OCR_WORD
795,600,1070,660,2,DISTRICT_CUR,,OCR_WORD
1235,600,1550,660,2,THANA_CUR,,OCR_WORD
600,670,770,715,2,MAN_CITY_CUR,,OCR_WORD
885,670,1080,715,2,UNION_CUR,,OCR_WORD
1220,670,1570,715,2,WARD_CUR,,OCR_WORD
415,720,720,760,2,MOUJA_CUR,,OCR_WORD
1050,720,1570,760,2,ADDRESS_DES_CUR,,OCR_WORD
540,770,755,815,2,HOUSE_NO_CUR,,OCR_WORD
865,770,1170,815,2,POST_OFFICE_CUR,,OCR_WORD
1335,780,1385,820,2,POST_CODE_CUR,1,OCR_CHAR
1386,780,1435,820,2,POST_CODE_CUR,2,OCR_CHAR
1438,780,1490,820,2,POST_CODE_CUR,3,OCR_CHAR
1490,780,1540,820,2,POST_CODE_CUR,4,OCR_CHAR
422,880,710,930,2,DIVISION_PERM,,OCR_WORD
795,880,1070,930,2,DISTRICT_PERM,,OCR_WORD
1235,880,1550,930,2,THANA_PERM,,OCR_WORD
605,930,770,980,2,MAN_CITY_PERM,,OCR_WORD
885,930,1080,980,2,UNION_PERM,,OCR_WORD
1220,930,1570,980,2,WARD_PERM,,OCR_WORD
415,980,720,1030,2,MOUJA_PERM,,OCR_WORD
1050,980,1570,1030,2,ADDRESS_DES_PERM,,OCR_WORD
540,1030,755,1082,2,HOUSE_NO_PERM,,OCR_WORD
865,1030,1170,1082,2,POST_OFFICE_PERM,,OCR_WORD
1335,1050,1385,1095,2,POST_CODE_PERM,1,OCR_CHAR
1386,1050,1435,1095,2,POST_CODE_PERM,2,OCR_CHAR
1438,1050,1490,1095,2,POST_CODE_PERM,3,OCR_CHAR
1490,1050,1540,1095,2,POST_CODE_PERM,4,OCR_CHAR
